"","nume","pret","reducere","sortimente","Date","RobotName","RobotVersion","Sortiment","Post_cheltuieli"
"18","Alune cu aroma de ceapa si smantana Mogyi 60g","190 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"19","Alune cu aroma de chili Mogyi 60g","230 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"20","Alune cu aroma de salsa lime Mogyi 190g","665 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"21","Alune de padure Carrefour 300g","3690 Lei/bucata","","Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"22","Alune de padure Carrefour 50g","599 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"23","Alune de padure crude Elmas 500g","5999 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"24","Alune de padure crude Jasmin 50g","549 Lei/bucata","","Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"25","Alune de padure in coaja subtire Orlando's 35g","869 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"26","Alune decojite crude Carrefour 500g","649 Lei/bucata","","Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"27","Alune in coaja Carrefour 500g","900 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"28","Alune Mogyi 170g","449 Lei/bucata","","Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"29","Alune Mogyi 85g","220 Lei/bucata","","Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"30","Alune nesarate Mogyi 320g","935 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"31","Alune prajite si sarate Felix 400g","1340 Lei/bucata","","Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"32","Alune prajite si sarate Mogyi 320g","685 Lei/bucata","","Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"33","Alune sarate si prajite Mogyi 170g","449 Lei/bucata","","Aperitive sarate",20170803,"carrefour.js","v1",18520,185
"34","Alunite umplute cu crema de cacao Olla 100g","185 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"35","Amandina Carrefour 1 buc 150g","399 Lei/bucata","","Cofetarie si patiserie",20170803,"carrefour.js","v1",NA,NA
"36","Amandina Carrefour 2 buc 300g","699 Lei/bucata","","Cofetarie si patiserie",20170803,"carrefour.js","v1",NA,NA
"37","Amestec comdimente pentru sarmale Cosmin 20g","125 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"38","Amestec condimente cu cafea Boston BBQ Kotany 20g","350 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"39","Amestec condimente cu tumeric Miami BBQ Kotany 20g","350 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"40","Amestec condimente Curry Kotanyi 27g","250 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"41","Amestec condimente pentru carne de porc Carrefour 20g","050 Lei/bucata","","Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"42","Amestec condimente pentru Friptura de porc Kotanyi 30g","255 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"43","Amestec condimente pentru Friptura de pui Kotanyi 30g","300 Lei/bucata","","Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"44","Amestec condimente pentru Gratar Kotanyi 30g","255 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"45","Amestec condimente pentru gratar Kotanyi 41g","1350 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"46","Amestec condimente pentru peste Kotanyi 26g","255 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"47","Amestec condimente pentru pizza Kotanyi 18g","300 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"48","Amestec condimente pentru pui Knorr Punga Magica 25g","410 Lei/bucata","","Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"49","Amestec condimente Usturoi si piper Kotanyi 27g","300 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"50","Amestec de ciuperci de padure murate Darinne 560g","1330 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"51","Amestec de ciuperci exotice murate Darinne 560g","1435 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"52","Amestec de condimente cu gust de piper Kamis 15g","300 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"53","Amestec de condimente pentru carnati Fuchs 20g","230 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"54","Amestec de condimente pentru friptura Montreal Kamis 20g","340 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"55","Amestec de condimente pentru vin fiert Fuchs 15g","260 Lei/bucata",NA,"Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"56","Amestec de legume asiatice Shan'Shi Chop Suey 330g","826 Lei/bucata","","Produse de post",20170803,"carrefour.js","v1",NA,NA
"57","Amestec de legume macedonean Bonduelle 400g","600 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",12516,113
"58","Amestec de seminte Jasmin 200g","649 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"59","Amestec pentru clatite pufoase cu fulgi de ciocolata Dr.Oetker 160g","210 Lei/bucata","","Cofetarie si patiserie",20170803,"carrefour.js","v1",NA,NA
"60","Amestec pentru clatite pufoase cu gust de vanilie Dr.Oetker 150g","210 Lei/bucata","","Cofetarie si patiserie",20170803,"carrefour.js","v1",NA,NA
"61","Amestec pentru sos spaghete carbonara Knorr La Fix 38g","229 Lei/bucata","-27%","Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"62","Amestec pentru sos spaghete carbonara Maggi Ideea Zilei 40g","249 Lei/bucata","-15%","Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"63","Amestec pentru sos spaghete milanese Maggi Ideea Zilei 55g","249 Lei/bucata","-8%","Sare si condimente",20170803,"carrefour.js","v1",NA,NA
"64","Amidon alimentar din porumb Alex 40g","070 Lei/bucata","","Cofetarie si patiserie",20170803,"carrefour.js","v1",NA,NA
"65","Amidon Dr. Oetker gustin 200g","265 Lei/bucata","","Cofetarie si patiserie",20170803,"carrefour.js","v1",NA,NA
"66","Ananas bucati Bitar 565g","445 Lei/bucata","","Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"67","Ananas bucati in sirop usor indulcit Hame 567g","840 Lei/bucata","","Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"68","Ananas bucati in sirop usor indulcit Hame 567g","840 Lei/bucata","","Produse de post",20170803,"carrefour.js","v1",NA,NA
"69","Ananas bucati Kluth 200g","1765 Lei/bucata","","Fructe confiate si mixuri",20170803,"carrefour.js","v1",NA,NA
"70","Ananas confiat SanoVita 100g","500 Lei/bucata","","Fructe confiate si mixuri",20170803,"carrefour.js","v1",NA,NA
"71","Ananas felii in sirop usor indulcit Carrefour 675g 3x225g","1239 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"72","Ananas per kg","699 Lei/kg","","Fructe proaspete",20170803,"carrefour.js","v1",NA,NA
"73","Anchois Carrefour 280g","1186 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"74","Ansoa cu oregano in ulei Trata 100g","700 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"75","Ansoa in ulei extravirgin de masline Rizzoli 40g","990 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"76","Ansoa in ulei masline Minerva Trata 100g","755 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"77","Ansoa picant in ulei vegetal Trata 100g","700 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"78","Antricot de manzat cu os feliat per kg","2860 Lei/kg","","Carne",20170803,"carrefour.js","v1",15803,158
"79","Antricot de manzat x2 per kg","3199 Lei/kg","","Carne",20170803,"carrefour.js","v1",NA,NA
"80","Antricot de manzat x4","3199 Lei/kg","","Carne",20170803,"carrefour.js","v1",NA,NA
"81","Antricot manzat fara os 500g","1599 Lei/kg","","Carne",20170803,"carrefour.js","v1",NA,NA
"82","Antricot vitel fara os per kg","3099 Lei/kg","","Carne",20170803,"carrefour.js","v1",NA,NA
"83","Apa de flori de portocal Darinne 300ml","1205 Lei/bucata","","Produse de post",20170803,"carrefour.js","v1",NA,NA
"84","Aperifrais aperitive a Italie Delaco 100g","930 Lei/bucata",NA,"Lactate",20170803,"carrefour.js","v1",NA,NA
"85","Aperitiv vegetal Scandia 120g","350 Lei/bucata","","Produse de post",20170803,"carrefour.js","v1",NA,NA
"86","Arahide Best 200g","505 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"87","Arahide Best 400g","995 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"88","Arahide coapte si sarate Carrefour 500g","920 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"89","Arahide cu caramel Best 50g","110 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"90","Arahide cu coaja coapte si sarate Elmas 300g","585 Lei/bucata","","Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"91","Arahide decojite Carrefour 150g","315 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"92","Arahide decojite Carrefour 300g","500 Lei/bucata","","Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"93","Arahide decojite Carrefour 500g","960 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"94","Arahide decojite crude Elmas 250g","649 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"95","Arahide decojite Elmas 500g","1008 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"96","Arahide decojite Orlando's 300g","830 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"97","Arahide decojite Orlando's 40g","160 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"98","Arahide decojite, prajite, fara sare Best Peanuts 50g","140 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"99","Arahide glazurate cu chilli Chio 60g","250 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"100","Arahide glazurate gust de wasabi Chio 60g","260 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"101","Arahide glazurate m&m'S 45g","220 Lei/bucata","","Dulciuri",20170803,"carrefour.js","v1",NA,NA
"102","Arahide glazurate m&m'S 90g","400 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"103","Arahide in coaja Carrefour 200g","220 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"104","Arahide in coaja coapte si sarate Elmas 100g","300 Lei/bucata","","Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"105","Arahide in coaja crude Elmas 250g","599 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"106","Arahide in coaja rosie sarate Fiesta 145g","395 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"107","Arahide in coaja rosie, coapte si sarate Fiesta 300g","835 Lei/bucata","","Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"108","Arahide in coaja subtire Orlando's 150g","435 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"109","Arahide in coaja subtire Orlando's 40g","160 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"110","Arahide in pastaie coapte si sarate Orlando's 500g","1020 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"111","Arahide in pastaie Orlando's 150g","425 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"112","Arahide petrecarete Nultine 150g","465 Lei/bucata","","Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"113","Arahide prajite cu caramel Carrefour 180g","412 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"114","Arahide prajite cu sare Fiesta 150g","395 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"115","Arahide prajite cu sare Fiesta 300g","799 Lei/bucata","","Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"116","Arahide prajite in ulei si sarate Elmas 300g","630 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"117","Arahide prajite si sarate Best 100g","260 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"118","Arahide prajite si sarate Felix 135g","640 Lei/bucata","","Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"119","Arahide prajite si sarate Felix 200g","690 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"120","Arahide prajite si sarate Fiesta 50g","150 Lei/bucata",NA,"Aperitive sarate",20170803,"carrefour.js","v1",NA,NA
"121","Ardei capia copti Darinne 530g","905 Lei/bucata","","Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"122","Ardei capia copti Giana 400g","1195 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"123","Ardei capia copti Sera 680g","1415 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"124","Ardei dulce Univer Edes Anna 200g","490 Lei/bucata","","Ketchup, mustar si alte sosuri",20170803,"carrefour.js","v1",NA,NA
"125","Ardei galben import, per kg","999 Lei/kg","","Legume proaspete",20170803,"carrefour.js","v1",NA,NA
"126","Ardei gras mixt 500g","649 Lei/bucata","","Legume proaspete",20170803,"carrefour.js","v1",12102,113
"127","Ardei iute Chillepin in otet Defne 370ml","890 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"128","Ardei iute in otet Defne 370ml","475 Lei/bucata","","Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"129","Ardei iute in otet Raureni 280g","480 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"130","Ardei iute murat Sera 320g","930 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"131","Ardei iute Univer Gros Pista 200g","490 Lei/bucata","","Ketchup, mustar si alte sosuri",20170803,"carrefour.js","v1",NA,NA
"132","Ardei iuti chilli Darinne 370ml","585 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"133","Ardei iuti in otet Carrefour 300g","228 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"134","Ardei kapia copti Defne 690g","1210 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"135","Ardei Pfefferoni in otet Globus 370ml","420 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"136","Ardei verde per kg","1099 Lei/kg","","Legume proaspete",20170803,"carrefour.js","v1",NA,NA
"137","Aripi de pui cu piele Coco Rico per kg","1099 Lei/kg","","Carne",20170803,"carrefour.js","v1",NA,NA
"138","Aripi de pui gastro Agricola per kg","1149 Lei/kg","","Carne",20170803,"carrefour.js","v1",16109,161
"139","Aripioare de pui cu piele Bravis per kg","1099 Lei/kg","","Carne",20170803,"carrefour.js","v1",NA,NA
"140","Aripioare de pui cu piele Fragedo Family Pack per kg","1149 Lei/kg","","Carne",20170803,"carrefour.js","v1",NA,NA
"141","Aripioare de pui Fragedo, per kg","1269 Lei/kg","","Carne",20170803,"carrefour.js","v1",NA,NA
"142","Aroma naturala de vanilie bourbon Dr.Oetker 5g","160 Lei/bucata","","Cofetarie si patiserie",20170803,"carrefour.js","v1",NA,NA
"143","Arpacas Atifco 1kg","280 Lei/bucata","","Produse de post",20170803,"carrefour.js","v1",11102,111
"144","Arpacas Deroni 1kg","290 Lei/bucata","","Produse de post",20170803,"carrefour.js","v1",NA,NA
"145","Avocado per bucata","549 Lei/bucata","","Fructe proaspete",20170803,"carrefour.js","v1",NA,NA
"146","Bacon Cris-Tim 100g","569 Lei/bucata","","Mezeluri",20170803,"carrefour.js","v1",NA,NA
"147","Bacon Cris-Tim per kg","3990 Lei/kg",NA,"Mezeluri",20170803,"carrefour.js","v1",NA,NA
"148","Bacon de curcan, feliat Espina 100g","855 Lei/bucata","","Mezeluri",20170803,"carrefour.js","v1",NA,NA
"149","Bacon Meda 150g","745 Lei/bucata","","Mezeluri",20170803,"carrefour.js","v1",NA,NA
"150","Bacon Mic dejun feliat Carrefour 100g","499 Lei/bucata","","Mezeluri",20170803,"carrefour.js","v1",NA,NA
"151","Bacon plaka afumat Ifantis per kg","4490 Lei/kg",NA,"Mezeluri",20170803,"carrefour.js","v1",NA,NA
"152","Bacon traditional Aldis per kg","4488 Lei/kg","","Mezeluri",20170803,"carrefour.js","v1",NA,NA
"153","Bagheta Doripesco 200g","1050 Lei/bucata","","Peste si fructe de mare",20170803,"carrefour.js","v1",NA,NA
"154","Bagheta multicereale 115g","299 Lei/bucata","","Panificatie",20170803,"carrefour.js","v1",NA,NA
"155","Bame Baktat 660g","1458 Lei/bucata",NA,"Conserve si borcane",20170803,"carrefour.js","v1",NA,NA
"156","Banane","555 Lei/kg","","Fructe proaspete",20170803,"carrefour.js","v1",13903,139
"157","Bascute cu branza Carrefour 2 buc 200g","259 Lei/bucata","","Cofetarie si patiserie",20170803,"carrefour.js","v1",NA,NA
"158","Batoane ciocolata cu crema de lapte Kinder 50g","206 Lei/bucata","","Dulciuri",20170803,"carrefour.js","v1",NA,NA
"159","Batoane ciocolata cu umplutura de fructe Bon Sweet 150g","395 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"160","Batoane ciocolata Snickers KingSize 75g","245 Lei/bucata","","Dulciuri",20170803,"carrefour.js","v1",NA,NA
"161","Batoane de ciocolata cu banana Casali 300g","1325 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"162","Batoane de ciocolata si caramel Twix Extra 75g","215 Lei/bucata","","Dulciuri",20170803,"carrefour.js","v1",NA,NA
"163","Batoane de ciocolata si spuma de banane si jeleu fructe Casali 140g","705 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"164","Batog afumat Doripesco 150g","969 Lei/bucata","","Peste si fructe de mare",20170803,"carrefour.js","v1",NA,NA
"165","Batog de macrou afumat Negro 2000 per kg","4962 Lei/kg","","Peste si fructe de mare",20170803,"carrefour.js","v1",NA,NA
"166","Baton caramel Roxy 45g","085 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"167","Baton cereale Cerbona 22g","090 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"168","Baton cereale cu cacao si lapte Rommac 25g","095 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"169","Baton cereale cu ciocolata Corny Big 50g","265 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"170","Baton cereale cu ciocolata neagra Corny Big 50g","265 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"171","Baton cereale cu ciocolata si banane Corny Big 50g","265 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"172","Baton cereale cu mere si caise Carrefour Discount 20g","032 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"173","Baton cereale cu merisoare Carrefour Discount 20g","032 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"174","Baton cereale cu merisoare Corny Big 50g","265 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"175","Baton cereale miere, visine si catina Rommac 20g","085 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"176","Baton cereale Nestle Chocapic 25g","100 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"177","Baton cereale Nestle Cini Minis 25g","100 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"178","Baton cereale Nestle Fitness Natural 23.5g","125 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"179","Baton cereale Nestle Fitness Strawbery 23.5g","125 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"180","Baton cereale Nestle Nesquik 25g","090 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"181","Baton ciocolata  Milky Way 21.5g","095 Lei/bucata","","Dulciuri",20170803,"carrefour.js","v1",NA,NA
"182","Baton ciocolata Albeni 31g","110 Lei/bucata","","Dulciuri",20170803,"carrefour.js","v1",NA,NA
"183","Baton ciocolata amaruie cu alune de padure Heidi 42g","250 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"184","Baton ciocolata cocos Bounty 85g","240 Lei/bucata","","Dulciuri",20170803,"carrefour.js","v1",NA,NA
"185","Baton ciocolata cu alune Milketten Milka 40g","265 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"186","Baton ciocolata cu biscuiti Rom cel dublu 60g","180 Lei/bucata","","Dulciuri",20170803,"carrefour.js","v1",NA,NA
"187","Baton ciocolata cu lapte si crema de caramel Milka 45g","160 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"188","Baton ciocolata cu stafide si alune de padure Heidi Crunch 32g","165 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"189","Baton ciocolata Lion 3x42g","345 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"190","Baton ciocolata Lion 42g","115 Lei/bucata","","Dulciuri",20170803,"carrefour.js","v1",NA,NA
"191","Baton ciocolata Mars 69g","245 Lei/bucata","","Dulciuri",20170803,"carrefour.js","v1",NA,NA
"192","Baton ciocolata si caramel Lion White 42g","150 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"193","Baton ciocolata si caramel Mars 47g","165 Lei/bucata","","Dulciuri",20170803,"carrefour.js","v1",NA,NA
"194","Baton ciocolata si caramel Twix Twin 50g","149 Lei/bucata","","Dulciuri",20170803,"carrefour.js","v1",NA,NA
"195","Baton ciocolata si cocos Bounty 57g","159 Lei/bucata","","Dulciuri",20170803,"carrefour.js","v1",NA,NA
"196","Baton cu alune Corny 50g","265 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"197","Baton cu arahide si caramel Rom 29g","140 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"198","Baton cu biscuite si caramel invelit in ciocolata Twix 200g","555 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"199","Baton cu cacao si alune Ria 30g","100 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"200","Baton cu ciocolata Cerbona 20g","080 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"201","Baton cu cocos Ria 30g","100 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"202","Baton cu crema de rom si biscuiti Rom 29g","140 Lei/bucata","","Dulciuri",20170803,"carrefour.js","v1",NA,NA
"203","Baton cu nuga si ciocolata Electro'Choc 47g","085 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"204","Baton cu nugat Pardise 25g","044 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"205","Baton cu rom Electro'Choc 30g","049 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"206","Baton cu rom Fagaras cel mare 45g","090 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"207","Baton de biscuiti Albeni Ulker 47g","165 Lei/bucata",NA,"Dulciuri",20170803,"carrefour.js","v1",NA,NA
"208","Baton de cereale cu afine Cerbona 20g","080 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"209","Baton de cereale cu cacao Carrefour 20g","032 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"210","Baton de cereale cu ciocolata alba Fitness Delice Nestle 22.5g","120 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"211","Baton de cereale cu ciocolata neagra si zmeura Cerbona 20g","080 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"212","Baton de cereale cu ciocolata, lapte si aroma de alune Nestle 22.5g","120 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"213","Baton de cereale cu fructe tropicale Carrefour 20g","032 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
"214","Baton de cereale Fitness Delice 22,5g","120 Lei/bucata","","Cereale si musli",20170803,"carrefour.js","v1",NA,NA
