"","nume","pret_aug","nomenclator","pret_sept","nume_sept","scor_aug_sept","pret_oct","nume_oct","scor_aug_oct","pret_noi","nume_noi","scor_aug_noi"
"30","carnati cabanos angst 280g",7.99,"cirnati cabanos  ",7.05,"carnati cabanos angst  280g",100,7.99,"carnati cabanos angst 280g",101,7.99,"carnati cabanos angst 280g",101
"31","carnati porc grosi per kg",11.99,"cirnati proaspeti  ",11.99,"carnati porc grosi per kg",101,13.99,"carnati porc grosi per kg",101,13.99,"carnati porc grosi per kg",101
"32","carnati porc subtiri per kg",12.99,"cirnati proaspeti  ",15.99,"carnati porc subtiri per kg",101,15.99,"carnati porc subtiri per kg",101,15.99,"carnati porc subtiri per kg",101
"33","carnati semiafumati meda 250g",7.95,"cirnati de casa, semiafumati  ",7.15,"carnati semiafumati meda 250g",101,8.49,"carnati semiafumati meda 250g",101,8.49,"carnati semiafumati meda 250g",101
"34","carne in suc propriu de porc carrefour 300g",6.15,"carne porc, in suc propriu  (cutie de 300 g) ",6.15,"carne in suc propriu de porc carrefour 300g",101,6.15,"carne in suc propriu de porc carrefour 300g",101,6.15,"carne in suc propriu de porc carrefour 300g",101
"35","carne in suc propriu de vita carrefour 300g",6.67,"carne vita, in suc propriu  (cutie de 300 g) ",6.67,"carne in suc propriu de vita carrefour 300g",101,6.67,"carne in suc propriu de vita carrefour 300g",101,6.67,"carne in suc propriu de vita carrefour 300g",101
"36","carne tocata amestec superior per kg",18.99,"carne tocata amestec (porc si  vita) ",18.99,"carne tocata amestec superior per kg",101,18.99,"carne tocata amestec superior per kg",101,18.99,"carne tocata amestec superior per kg",101
"37","carne tocata de porc superior per kg",14.99,"carne de porc, tocata  ",14.99,"carne tocata de porc superior per kg",101,14.99,"carne tocata de porc superior per kg",101,14.99,"carne tocata de porc superior per kg",101
"38","cartofi noi import per kg",1.49,"cartofi timpurii si de vara  ",2.49,"cartofi noi import per kg",101,7.99,"cartofi dulci",70,1.49,"cartofi noi import per kg",101
"39","cascaval afumat hochland 250g",9.69,"cascaval afumat  ",7.99,"cascaval afumat hochland 250g",101,9.69,"cascaval afumat hochland 250g",101,9.69,"cascaval afumat hochland 250g",101
"40","cascaval dotti 480g",11.55,"cascaval (din lapte de vaca)  ",9.98,"cascaval dotti 480g",101,9.49,"cascaval dotti 480g",101,11.55,"cascaval dotti 480g",101
"41","castraveti cornichon per kg",2.49,"castraveti proaspeti, de cimp  ",4.99,"castraveti fabio",77,4.69,"castraveti fabio",77,4.49,"castraveti cornichon per kg",101
"42","castraveti in otet raureni 680g",5.2,"castraveti in otet - indigeni  (borcan de cca. 720 ml) ",5.49,"castraveti in otet raureni 680g",101,4.75,"castraveti in otet raureni 680g",101,5.49,"castraveti in otet raureni 680g",101
"43","ceafa de porc cu os x1",16.99,"carne porc, cu os, fara  slanina (ceafa, antricot,  cotlet)",15.99,"ceafa de porc cu os x1",101,16.99,"ceafa de porc cu os x1",101,16.99,"ceafa de porc cu os x1",101
"44","ceafa de porc fara os per kg",19.99,"ceafa, cotlet fara os si  slanina ",16.99,"ceafa de porc fara os per kg",101,19.99,"ceafa de porc fara os per kg",101,19.99,"ceafa de porc fara os per kg",101
"45","ceafa presata meda medalis 150g",5.85,"ceafa afumata  ",5.85,"ceafa presata meda medalis 150g",101,6.29,"ceafa presata meda medalis 150g",101,6.29,"ceafa presata meda medalis 150g",101
"46","ceai de menta fares 20g",1.95,"ceai instant (plic din hirtie  poroasa de 2 g) ",1.85,"ceai de menta fares 20g",101,1.89,"ceai de menta fares 20g",101,2.1,"ceai de menta fares 20g",101
"47","ceapa galbena romania",1.59,"ceapa uscata  ",1.11,"ceapa galbena romania",101,1.69,"ceapa galbena 1kg",87,1.59,"ceapa galbena romania",101
"48","cereale mic dejun nestle nesquik duo 225g",5.55,"cereale pentru micul dejun  nestle"" - cutie carton""  225-350 g",5.55,"cereale mic dejun nestle nesquik duo 225g",101,5.55,"cereale mic dejun nestle nesquik duo 225g",101,5.55,"cereale mic dejun nestle nesquik duo 225g",101
"49","chec cu stafide carrefour 400g",7.3,"chec (cacao, stafide)  (200-500 g) ",7.3,"chec cu stafide carrefour 400g",101,7.3,"chec cu stafide carrefour 400g",101,7.3,"chec cu stafide carrefour 400g",101
"50","chifle albe carrefour 10buc 500g",2.6,"chifle simple, din faina alba  (50-100 g) ",1.99,"chifle albe carrefour 10 buc 500g",98,2.6,"chifle albe carrefour 10buc 500g",101,2.6,"chifle albe carrefour 10buc 500g",101
"51","ciocolata cu lapte kandia 80g",3.5,"ciocolata kandia"" (pachet de""  cca. 100 g) ",2.95,"ciocolata cu lapte kandia 80g",101,3.5,"ciocolata cu lapte kandia 80g",101,3.5,"ciocolata cu lapte kandia 80g",101
"52","ciocolata cu lapte milka 100g",3.69,"ciocolata milka"" (100 g)""  ",3.69,"ciocolata cu lapte milka 100g",101,3.69,"ciocolata cu lapte milka 100g",101,3.19,"ciocolata cu lapte milka 100g",101
"53","ciocolata cu lapte poiana 90g",2.34,"ciocolata poiana"" (pachet""  de cca. 100 g) ",2.39,"ciocolata cu lapte poiana 90g",101,2.34,"ciocolata cu lapte poiana 90g",101,2.34,"ciocolata cu lapte poiana 90g",101
"54","ciocolata cu lapte si crema de capsuni primola 95g",2.8,"ciocolata primola"" (pachet de""  cca. 100 g) ",2.2,"ciocolata cu lapte si crema de capsuni primola 95g",101,2.8,"ciocolata cu lapte si crema de capsuni primola 95g",101,2.8,"ciocolata cu lapte si crema de capsuni primola 95g",101
"55","ciuperci proaspete champignon 1kg",9.99,"ciuperci champignon"" (de""  cultura) ",9.99,"ciuperci proaspete champignon 1kg",101,9.99,"ciuperci champignon 1kg",100,9.99,"ciuperci proaspete champignon 1kg",101
"56","compot de piersici raureni 700g",6.65,"compot de piersici - indigen  (borcan de 720 ml) ",6.65,"compot de piersici raureni 700g",101,7.74,"compot de piersici olympia 700g",85,8.23,"compot de piersici olympia 700g",85
"57","compot de prune intregi raureni 720g",4.5,"compot de prune - indigen  (borcan de cca. 720 ml) ",3.25,"compot de prune intregi raureni 720g",101,4.6,"compot de prune intregi raureni 720g",101,4.6,"compot de prune intregi raureni 720g",101
"58","compot de visine globus 720ml",8.25,"compot de visine - indigen  (borcan de cca. 720 ml) ",8.25,"compot de visine globus 720ml",101,8.25,"compot de visine globus 720ml",101,5.29,"compot de visine 720ml 365",92
"59","condimente pentru carne la gratar galeo 20g",1.2,"condimente, diverse sortimente  (plic 20-25 g) ",1.2,"condimente pentru carne la gratar galeo 20g",101,1.2,"condimente pentru carne la gratar galeo 20g",101,1.2,"condimente pentru carne la gratar galeo 20g",101
"60","conserva mazare verde boabe olympia 720ml",4.85,"mazare verde (borcan de cca.  720 ml) ",3.99,"conserva mazare verde boabe olympia 720ml",101,4.85,"conserva mazare verde boabe olympia 720ml",101,4.85,"conserva mazare verde boabe olympia 720ml",101
"61","corn cu marmelada 4 buc 400g",3.99,"cornuri (80-100 g)  ",3.99,"corn cu marmelada 4 buc 400g",101,3.99,"corn cu marmelada 4 buc 400g",101,3.99,"corn cu marmelada 4 buc 400g",101
"62","costita afumata traditionala per kg",54.94,"costita afumata (cu os)  ",54.94,"costita afumata traditionala per kg",101,73.58,"costita afumata traditionala per kg",101,73.58,"costita afumata traditionala per kg",101
"63","covrigei cu susan croco 80g",1,"covrigei cu sare,mac sau susan  ",1,"covrigei cu susan croco 80g",101,1.05,"covrigei cu susan croco 80g",101,1.05,"covrigei cu susan croco 80g",101
"64","covrigi de buzau cu sare boromir 250g",2.59,"covrigi cu sare si mac  (cca. 50-100 g) ",2.53,"covrigi de buzau cu sare boromir 250g",101,2.65,"covrigi de buzau cu sare boromir 250g",101,2.59,"covrigi de buzau cu sare boromir 250g",101
"65","cozonac cu nuca si cacao carrefour 800g",9.99,"cozonac cu diferite umpluturi  (400-800 g) ",7.99,"cozonac cu nuca si cacao carrefour 800g",101,13.99,"cozonac cu nuca si cacao carrefour 800g",101,13.99,"cozonac cu nuca si cacao carrefour 800g",101
"66","cozonac de post cu stafide carrefour 500g",5.27,"cozonac de post, cu rahat  (400-800 g) ",5.27,"cozonac de post cu stafide carrefour 500g",101,5.27,"cozonac de post cu stafide carrefour 500g",101,5.27,"cozonac de post cu stafide carrefour 500g",101
"67","crema de alune cu cacao nutella 400g",12.63,"nutella (400 g)  ",11.93,"crema de alune cu cacao nutella 400g",101,12.36,"crema de alune cu cacao nutella 400g",101,12.63,"crema de alune cu cacao nutella 400g",101
"68","crema de branza cu castraveti hochland creme 200g",5.05,"brinza proaspata crema  hochland (cu verdeata,  castraveti) - cutie plastic",4.8,"crema de branza cu castraveti hochland creme 200g",101,4.8,"crema de branza cu castraveti hochland creme 200g",101,4.8,"crema de branza cu castraveti hochland creme 200g",101
"69","crema de cacao, alune de padure si lapte finetti 200g",5.2,"crema de ciocolata finetti""""  (cutie plastic de 200 g) ",5.1,"crema de cacao, alune de padure si lapte finetti 200g",101,5.4,"crema de cacao, alune de padure si lapte finetti 200g",101,5.4,"crema de cacao, alune de padure si lapte finetti 200g",101
"70","cremwursti din piept de curcan ifantis 250g",9.99,"cremwursti  ",7.99,"cremwursti din piept de curcan ifantis 250g",101,9.99,"cremwursti din piept de curcan ifantis 250g",101,9.99,"cremwursti din piept de curcan ifantis 250g",101
"71","crenvuresti polonezi de pui aldis per kg",23.08,"polonezi de pui  ",22.49,"crenvuresti polonezi de pui aldis per kg",101,25,"crenvuresti polonezi de pui aldis per kg",101,25,"crenvuresti polonezi de pui aldis per kg",101
"72","croissant cu umplutura de vanilie si cacao 7days double 80g",1.8,"croissant umplut cu ciocolata  - indigen (punga metalizata  de 65-100 g) tip magic"" sau""",1.8,"croissant cu umplutura de vanilie si cacao 7days double 80g",101,1.79,"croissant cu umplutura de vanilie si cacao 7days double 80g",101,1.79,"croissant cu umplutura de vanilie si cacao 7days double 80g",101
"73","demibagheta rustica cu cartofi 120g",1.99,"piine alba, format bagheta  ",1.79,"demibagheta rustica cu cartofi 120g",101,7.99,"cartofi dulci",70,7.99,"cartofi dulci",70
"74","drojdie proaspata budafok 500g",4.3,"drojdie de bere, proaspata,  comprimata (pachet de 500 g) ",4.3,"drojdie proaspata budafok 500g",101,3.45,"drojdie proaspata budafok 500g",101,3.45,"drojdie proaspata budafok 500g",101
"75","dropsuri asortate carrefour 80g",0.91,"dropsuri simple - vrac  ",0.89,"dropsuri asortate carrefour 80g",101,0.91,"dropsuri asortate carrefour 80g",101,0.91,"dropsuri asortate carrefour 80g",101
"76","dulceata de cirese raureni 350g",8.7,"dulceata de cirese - indigena  (borcan de 360-450 ml) ",7.8,"dulceata de cirese raureni 350g",101,9.35,"dulceata de cirese raureni 350g",101,9.35,"dulceata de cirese raureni 350g",101
"77","dulceata de visine arovit 340g",6.85,"dulceata de visine - indigena  (borcan de 360-450 ml) ",6.6,"dulceata de visine arovit 340g",101,7.5,"dulceata de visine arovit 340g",101,7.5,"dulceata de visine arovit 340g",101
"78","emmentaler zott bayerntaler 200g",11.7,"cascaval sweitzer  ",11.7,"emmentaler zott bayerntaler 200g",101,10.55,"emmentaler zott bayerntaler 200g",101,10.55,"emmentaler zott bayerntaler 200g",101
"79","esenta de rom cosmin 25 ml",1.4,"esenta de rom, vanilie, fistic  (sticluta de 25-30 ml) ",1.4,"esenta de rom cosmin 25 ml",101,1.4,"esenta de rom cosmin 25 ml",101,1.4,"esenta de rom cosmin 25 ml",101
"80","esenta de rom dr. oetker 4 x 2 ml",2.9,"esente diferite arome dr.""  oetker (fiole 2 ml)"" ",3.35,"esenta de rom dr. oetker 4 x 2 ml",101,2.9,"esenta de rom dr. oetker 4 x 2 ml",101,2.9,"esenta de rom dr. oetker 4 x 2 ml",101
"81","faina alba de grau 650 baneasa 1kg",1.39,"faina alba (tip 650) -  preambalata ",1.49,"faina alba de grau 650 baneasa 1kg",101,1.39,"faina alba de grau 650 baneasa 1kg",101,1.39,"faina alba de grau 650 baneasa 1kg",101
"82","faina alba superioara 000 boromir 1kg",2.59,"faina alba superioara (480 tip  000) - preambalata ",2.29,"faina alba superioara 000 boromir 1kg",101,2.59,"faina alba superioara 000 boromir 1kg",101,2.59,"faina alba superioara 000 boromir 1kg",101
"83","fasole alba maxim's 400g",3.7,"fasole uscata  ",4.1,"fasole alba maxim's 400g",101,3.7,"fasole alba maxim's 400g",101,3.7,"fasole alba maxim's 400g",101
"84","fasole galbena pastai taiata merve 670g",5,"fasole pastai, taiata (borcan  de cca. 720 ml) ",4.29,"fasole galbena pastai taiata merve 670g",101,5,"fasole galbena pastai taiata merve 670g",101,5,"fasole galbena pastai taiata merve 670g",101
"85","feta din lapte de capra si oaie olympus 350g",16.1,"brinza feta""""  ",16.1,"feta din lapte de capra si oaie olympus 350g",101,16,"feta din lapte de capra si oaie olympus 350g",101,16,"feta din lapte de capra si oaie olympus 350g",101
"86","ficat de porc per kg",5.99,"ficat de porc  ",8.99,"rasol de porc per kg",82,12.99,"ficat de pui coco rico per kg",86,12.99,"ficat de pui coco rico per kg",86
"87","ficat de pui fragedo per kg",13.49,"ficat pui, preambalat  ",13.49,"ficat de pui fragedo per kg",101,13.49,"ficat de pui fragedo per kg",101,12.69,"aripioare de pui fragedo, per kg",88
"88","file de macrou in sos tomat carrefour 170g",4.29,"file (hering, macrou) in sos  tomat - cutie 170 g ",4.69,"file de macrou in sos tomat carrefour 170g",101,4.29,"file de macrou in sos tomat carrefour 170g",101,4.29,"file de macrou in sos tomat carrefour 170g",101
"89","fleica de porc fara os per kg",15.99,"carne porc (fleica, piept)  ",13.99,"fleica de porc fara os per kg",101,15.99,"fleica de porc fara os per kg",101,15.99,"fleica de porc fara os per kg",101
"90","frisca uht hulala 500ml",6.65,"frisca vegetala (cutie carton  0,5 l) ",6.39,"frisca uht hulala 500ml",101,6.65,"frisca uht hulala 500ml",101,6.65,"frisca uht hulala 500ml",101
"91","fulgi de porumb rumeniti in cuptor carrefour 150g",1.65,"fulgi de porumb - indigeni  (punga de 150 g) ",1.65,"fulgi de porumb rumeniti in cuptor carrefour 150g",101,1.65,"fulgi de porumb rumeniti in cuptor carrefour 150g",101,1.65,"fulgi de porumb rumeniti in cuptor carrefour 150g",101
"92","fursecuri cu bucatele de ciocolata milka choco cookie 135g",4.2,"fursecuri ambalate in cutie  ",4.2,"fursecuri cu bucatele de ciocolata milka choco cookie 135g",101,4.2,"fursecuri cu bucatele de ciocolata milka choco cookie 135g",101,4.2,"fursecuri cu bucatele de ciocolata milka choco cookie 135g",101
"93","gem de caise arovit 360g",4.09,"gem de caise - indigen (borcan  de 360-450 ml) ",4.03,"gem de caise arovit 360g",101,4.39,"gem de caise arovit 360g",101,4.79,"gem de caise arovit 360g",101
"94","gem de capsuni arovit 360g",4.2,"gem de capsuni - indigen  (borcan de 360-450 ml) ",4.1,"gem de capsuni arovit 360g",101,4.4,"gem de capsuni arovit 360g",101,4.4,"gem de capsuni arovit 360g",101
"95","gem de prune arovit 360g",4.2,"gem de prune - indigen (borcan  de 360-450 ml) ",4,"gem de prune arovit 360g",101,4.6,"gem de prune arovit 360g",101,4.6,"gem de prune arovit 360g",101
"96","gris dobrogea 500g",2.35,"gris preambalat (punga 500 g)  ",2.35,"gris dobrogea 500g",101,2.35,"gris dobrogea 500g",101,2.35,"gris dobrogea 500g",101
"97","guma de mestecat fara zahar si aroma de menta winterfrost orbit 14g",1.4,"guma mestecat orbit""""  fara zahar (14 g) ",1.5,"guma de mestecat fara zahar si aroma de menta winterfrost orbit 14g",101,1.4,"guma de mestecat fara zahar si aroma de menta winterfrost orbit 14g",101,1.4,"guma de mestecat fara zahar si aroma de menta winterfrost orbit 14g",101
"98","halva cu cacao feleacul 400g",5.8,"halva cu cacao - indigena  (pachet de 250-500 g) ",5.8,"halva cu cacao feleacul 400g",101,5.8,"halva cu cacao feleacul 400g",101,5.8,"halva cu cacao feleacul 400g",101
"99","hering file in sos tomat home garden 170g",6,"file (hering, macrou) in sos  tomat - cutie 170 g ",5.9,"hering file in sos tomat home garden 170g",101,6,"hering file in sos tomat home garden 170g",101,6,"hering file in sos tomat home garden 170g",101
"100","hering in sos tomat king oscar 170g",5.04,"hering in sos tomat (cutie de  140-200 g) ",6.4,"hering in sos tomat king oscar 170g",101,6.4,"hering in sos tomat king oscar 170g",101,6.4,"hering in sos tomat king oscar 170g",101
"101","iaurt cu fructe de padure danone nutriday delicios 125g",1.25,"iaurt cu fructe (125 g)  ",1.2,"iaurt cu fructe de padure danone nutriday delicios 125g",101,1.25,"iaurt cu fructe de padure danone nutriday delicios 125g",101,1.25,"iaurt cu fructe de padure danone nutriday delicios 125g",101
"102","iaurt de baut natur activia 320g",2.59,"iaurt de baut (pahar 320 -  350 g) ",2.59,"iaurt de baut natur activia 320g",101,2.53,"iaurt de baut natur activia 320g",101,2.53,"iaurt de baut natur activia 320g",101
"103","iaurt natural campina 2.8% grasime 150g",1.55,"iaurt (pahar plastic  150-200 ml) ",1.5,"iaurt natural campina 2.8% grasime 150g",101,1.55,"iaurt natural campina 2.8% grasime 150g",101,3.35,"iaurt natural campina 2.8% grasime 375g",95
"104","inima de porc per kg",7.99,"inima de porc  ",7.49,"inima de porc per kg",101,12,"inima feliata de vita per kg",86,12,"inima feliata de vita per kg",86
"105","jambon porc angst per kg",31.6,"jambon porc, afumat  ",31.6,"jambon porc angst per kg",101,31.6,"jambon porc angst per kg",101,31.6,"jambon porc angst per kg",101
"106","kaiser afumat fox per kg",29.9,"kaiser  ",29.7,"kaiser afumat fox per kg",101,29.9,"kaiser afumat fox per kg",101,34.9,"kaiser afumat fox per kg",101
"107","kefir caucazian milli 3.5% grasime 330g",4.75,"kefir (pahar plastic  375-450 g) ",4.7,"kefir caucazian milli 3.5% grasime 330g",101,4.75,"kefir caucazian milli 3.5% grasime 330g",101,4.75,"kefir caucazian milli 3.5% grasime 330g",101
"108","ketchup dulce tomi 350g",4.39,"sos tomat (ketchup) pentru  garnituri - tip tomi topway""""  (recipient plastic de 350 g)",3.69,"ketchup dulce tomi 350g",101,4.39,"ketchup dulce tomi 350g",101,4.39,"ketchup dulce tomi 350g",101
"109","lamai",7.99,"lamii  ",8.99,"lamai eco 500g",100,12.99,"lamai eco 500g",100,6.99,"lamai",101
"110","lapte batut covalact 2% grasime 900g",4.88,"lapte batut (sticla plastic  800-1000 g) ",4.88,"lapte batut covalact 2% grasime 900g",101,5.52,"lapte batut covalact 2% grasime 900g",101,5.38,"lapte batut covalact 2% grasime 900g",101
"111","lapte integral milli 3.5% grasime 1l",4.6,"lapte de vaca, uht, cu grasime  3,5% (la dorna""  ""fulga""",4.72,"lapte integral milli 3.5% grasime 1l",101,4.65,"lapte integral milli 3.5% grasime 1l",101,4.65,"lapte integral milli 3.5% grasime 1l",101
"112","lapte praf integral raraul 26% grasime 500g",16.8,"lapte praf (punga metalizata  de 250-500 g) ",16.8,"lapte praf integral raraul 26% grasime 500g",101,16.8,"lapte praf integral raraul 26% grasime 500g",101,16.8,"lapte praf integral raraul 26% grasime 500g",101
"113","lapte semidegresat ladorna 1.5% grasime 1l",4.3,"lapte de vaca, degresat  (1,5-1,8%) ",3.55,"lapte semidegresat oke 1.5% grasime 1l",94,4.3,"lapte semidegresat ladorna 1.5% grasime 1l",101,4.5,"lapte semidegresat ladorna 1.5% grasime 1l",101
"114","lapte uht degresat fulga 0.1% grasime 1l",4.1,"lapte 0,1% grasime (cutie  carton) ",3.7,"lapte uht degresat fulga 0.1% grasime 1l",101,4.2,"lapte uht degresat fulga 0.1% grasime 1l",101,4.4,"lapte uht degresat fulga 0.1% grasime 1l",101
"115","lapte uht degresat ladorna 0.1% grasime 1l",4.5,"lapte 0,1% grasime (cutie  carton) ",4.5,"lapte uht degresat ladorna 0.1% grasime 1l",101,4.75,"lapte uht degresat ladorna 0.1% grasime 1l",101,4.75,"lapte uht degresat ladorna 0.1% grasime 1l",101
"116","lapte uht integral fulga 3.5% grasime 1l",4.69,"lapte de vaca, uht, cu grasime  3,5% (la dorna""  ""fulga""",4.69,"lapte uht integral fulga 3.5% grasime 1l",101,4.69,"lapte uht integral fulga 3.5% grasime 1l",101,4.69,"lapte uht integral fulga 3.5% grasime 1l",101
"117","lapte uht integral ladorna 3.5% grasime 1l",4.39,"lapte de vaca, uht, cu grasime  3,5% (la dorna""  ""fulga""",4.47,"lapte uht integral ladorna 3.5% grasime 1l",101,4.73,"lapte uht integral ladorna 3.5% grasime 1l",101,4.84,"lapte uht integral ladorna 3.5% grasime 1l",101
"118","limba de porc per kg",13.99,"limba de porc, fara slung  ",13.99,"limba de porc per kg",101,8.99,"rasol de porc per kg",82,8.99,"rasol de porc per kg",82
