"","nume","pret_aug","nomenclator","pret_sept","nume_sept","scor_aug_sept","pret_oct","nume_oct","scor_aug_oct","pret_noi","nume_noi","scor_aug_noi"
"35","carne in suc propriu de vita carrefour 300g","667 Lei/bucata","carne vita, in suc propriu  (cutie de 300 g) ","667 Lei/bucata","carne in suc propriu de vita carrefour 300g",101,"667 Lei/bucata","carne in suc propriu de vita carrefour 300g",101,"667 Lei/bucata","carne in suc propriu de vita carrefour 300g",101
"36","carne tocata amestec superior per kg","1899 Lei/kg","carne tocata amestec (porc si  vita) ","1899 Lei/kg","carne tocata amestec superior per kg",101,"1899 Lei/kg","carne tocata amestec superior per kg",101,"1899 Lei/kg","carne tocata amestec superior per kg",101
"37","carne tocata de porc superior per kg","1499 Lei/kg","carne de porc, tocata  ","1499 Lei/kg","carne tocata de porc superior per kg",101,"1499 Lei/kg","carne tocata de porc superior per kg",101,"1499 Lei/kg","carne tocata de porc superior per kg",101
"38","cartofi noi import per kg","149 Lei/kg","cartofi timpurii si de vara  ","249 Lei/kg","cartofi noi import per kg",101,"7.99 Lei/kilogram","cartofi dulci",70,"149 Lei/kg","cartofi noi import per kg",101
"39","cascaval afumat hochland 250g","969 Lei/bucata","cascaval afumat  ","799 Lei/bucata","cascaval afumat hochland 250g",101,"969 Lei/bucata","cascaval afumat hochland 250g",101,"969 Lei/bucata","cascaval afumat hochland 250g",101
"40","cascaval dotti 480g","1155 Lei/bucata","cascaval (din lapte de vaca)  ","998 Lei/bucata","cascaval dotti 480g",101,"949 Lei/bucata","cascaval dotti 480g",101,"1155 Lei/bucata","cascaval dotti 480g",101
"41","castraveti cornichon per kg","249 Lei/kg","castraveti proaspeti, de cimp  ","4.99 Lei/kilogram","castraveti fabio",77,"4.69 Lei/kilogram","castraveti fabio",77,"449 Lei/kg","castraveti cornichon per kg",101
"42","castraveti in otet raureni 680g","520 Lei/bucata","castraveti in otet - indigeni  (borcan de cca. 720 ml) ","549 Lei/bucata","castraveti in otet raureni 680g",101,"475 Lei/bucata","castraveti in otet raureni 680g",101,"549 Lei/bucata","castraveti in otet raureni 680g",101
"43","ceafa de porc cu os x1","1699 Lei/kg","carne porc, cu os, fara  slanina (ceafa, antricot,  cotlet)","1599 Lei/kg","ceafa de porc cu os x1",101,"1699 Lei/kg","ceafa de porc cu os x1",101,"1699 Lei/kg","ceafa de porc cu os x1",101
"44","ceafa de porc fara os per kg","1999 Lei/kg","ceafa, cotlet fara os si  slanina ","1699 Lei/kg","ceafa de porc fara os per kg",101,"1999 Lei/kg","ceafa de porc fara os per kg",101,"1999 Lei/kg","ceafa de porc fara os per kg",101
"45","ceafa presata meda medalis 150g","585 Lei/bucata","ceafa afumata  ","585 Lei/bucata","ceafa presata meda medalis 150g",101,"629 Lei/bucata","ceafa presata meda medalis 150g",101,"629 Lei/bucata","ceafa presata meda medalis 150g",101
"46","ceai de menta fares 20g","195 Lei/bucata","ceai instant (plic din hirtie  poroasa de 2 g) ","185 Lei/bucata","ceai de menta fares 20g",101,"189 Lei/bucata","ceai de menta fares 20g",101,"210 Lei/bucata","ceai de menta fares 20g",101
"47","ceapa galbena romania","159 Lei/kg","ceapa uscata  ","111 Lei/kg","ceapa galbena romania",101,"1.69 1.59 Lei/buc 1.59 kilogram","ceapa galbena 1kg",87,"159 Lei/kg","ceapa galbena romania",101
"48","cereale mic dejun nestle nesquik duo 225g","555 Lei/bucata","cereale pentru micul dejun  nestle"" - cutie carton""  225-350 g","555 Lei/bucata","cereale mic dejun nestle nesquik duo 225g",101,"555 Lei/bucata","cereale mic dejun nestle nesquik duo 225g",101,"555 Lei/bucata","cereale mic dejun nestle nesquik duo 225g",101
"49","chec cu stafide carrefour 400g","730 Lei/bucata","chec (cacao, stafide)  (200-500 g) ","730 Lei/bucata","chec cu stafide carrefour 400g",101,"730 Lei/bucata","chec cu stafide carrefour 400g",101,"730 Lei/bucata","chec cu stafide carrefour 400g",101
"50","chifle albe carrefour 10buc 500g","260 Lei/bucata","chifle simple, din faina alba  (50-100 g) ","199 Lei/bucata","chifle albe carrefour 10 buc 500g",98,"260 Lei/bucata","chifle albe carrefour 10buc 500g",101,"260 Lei/bucata","chifle albe carrefour 10buc 500g",101
"51","ciocolata cu lapte kandia 80g","350 Lei/bucata","ciocolata kandia"" (pachet de""  cca. 100 g) ","295 Lei/bucata","ciocolata cu lapte kandia 80g",101,"350 Lei/bucata","ciocolata cu lapte kandia 80g",101,"350 Lei/bucata","ciocolata cu lapte kandia 80g",101
"52","ciocolata cu lapte milka 100g","369 Lei/bucata","ciocolata milka"" (100 g)""  ","369 Lei/bucata","ciocolata cu lapte milka 100g",101,"369 Lei/bucata","ciocolata cu lapte milka 100g",101,"319 Lei/bucata","ciocolata cu lapte milka 100g",101
"53","ciocolata cu lapte poiana 90g","234 Lei/bucata","ciocolata poiana"" (pachet""  de cca. 100 g) ","239 Lei/bucata","ciocolata cu lapte poiana 90g",101,"234 Lei/bucata","ciocolata cu lapte poiana 90g",101,"234 Lei/bucata","ciocolata cu lapte poiana 90g",101
"54","ciocolata cu lapte si crema de capsuni primola 95g","280 Lei/bucata","ciocolata primola"" (pachet de""  cca. 100 g) ","220 Lei/bucata","ciocolata cu lapte si crema de capsuni primola 95g",101,"280 Lei/bucata","ciocolata cu lapte si crema de capsuni primola 95g",101,"280 Lei/bucata","ciocolata cu lapte si crema de capsuni primola 95g",101
"55","ciuperci proaspete champignon 1kg","999 Lei/bucata","ciuperci champignon"" (de""  cultura) ","999 Lei/bucata","ciuperci proaspete champignon 1kg",101,"9.99 Lei/buc 9.99 kilogram","ciuperci champignon 1kg",100,"999 Lei/bucata","ciuperci proaspete champignon 1kg",101
"56","compot de piersici raureni 700g","665 Lei/bucata","compot de piersici - indigen  (borcan de 720 ml) ","665 Lei/bucata","compot de piersici raureni 700g",101,"774 Lei/bucata","compot de piersici olympia 700g",85,"8.23 Lei/buc 11.76 kilogram","compot de piersici olympia 700g",85
"57","compot de prune intregi raureni 720g","450 Lei/bucata","compot de prune - indigen  (borcan de cca. 720 ml) ","325 Lei/bucata","compot de prune intregi raureni 720g",101,"460 Lei/bucata","compot de prune intregi raureni 720g",101,"460 Lei/bucata","compot de prune intregi raureni 720g",101
"58","compot de visine globus 720ml","825 Lei/bucata","compot de visine - indigen  (borcan de cca. 720 ml) ","825 Lei/bucata","compot de visine globus 720ml",101,"825 Lei/bucata","compot de visine globus 720ml",101,"529 Lei/buc","compot de visine 720ml 365",92
"59","condimente pentru carne la gratar galeo 20g","120 Lei/bucata","condimente, diverse sortimente  (plic 20-25 g) ","120 Lei/bucata","condimente pentru carne la gratar galeo 20g",101,"120 Lei/bucata","condimente pentru carne la gratar galeo 20g",101,"120 Lei/bucata","condimente pentru carne la gratar galeo 20g",101
"60","conserva mazare verde boabe olympia 720ml","485 Lei/bucata","mazare verde (borcan de cca.  720 ml) ","399 Lei/bucata","conserva mazare verde boabe olympia 720ml",101,"485 Lei/bucata","conserva mazare verde boabe olympia 720ml",101,"485 Lei/bucata","conserva mazare verde boabe olympia 720ml",101
"61","corn cu marmelada 4 buc 400g","399 Lei/bucata","cornuri (80-100 g)  ","399 Lei/bucata","corn cu marmelada 4 buc 400g",101,"399 Lei/bucata","corn cu marmelada 4 buc 400g",101,"399 Lei/bucata","corn cu marmelada 4 buc 400g",101
"62","costita afumata traditionala per kg","5494 Lei/kg","costita afumata (cu os)  ","5494 Lei/kg","costita afumata traditionala per kg",101,"7358 Lei/kg","costita afumata traditionala per kg",101,"7358 Lei/kg","costita afumata traditionala per kg",101
"63","covrigei cu susan croco 80g","100 Lei/bucata","covrigei cu sare,mac sau susan  ","100 Lei/bucata","covrigei cu susan croco 80g",101,"105 Lei/bucata","covrigei cu susan croco 80g",101,"105 Lei/bucata","covrigei cu susan croco 80g",101
"64","covrigi de buzau cu sare boromir 250g","259 Lei/bucata","covrigi cu sare si mac  (cca. 50-100 g) ","253 Lei/bucata","covrigi de buzau cu sare boromir 250g",101,"265 Lei/bucata","covrigi de buzau cu sare boromir 250g",101,"259 Lei/bucata","covrigi de buzau cu sare boromir 250g",101
"65","cozonac cu nuca si cacao carrefour 800g","999 Lei/bucata","cozonac cu diferite umpluturi  (400-800 g) ","799 Lei/bucata","cozonac cu nuca si cacao carrefour 800g",101,"1399 Lei/bucata","cozonac cu nuca si cacao carrefour 800g",101,"1399 Lei/bucata","cozonac cu nuca si cacao carrefour 800g",101
"66","cozonac de post cu stafide carrefour 500g","527 Lei/bucata","cozonac de post, cu rahat  (400-800 g) ","527 Lei/bucata","cozonac de post cu stafide carrefour 500g",101,"527 Lei/bucata","cozonac de post cu stafide carrefour 500g",101,"527 Lei/bucata","cozonac de post cu stafide carrefour 500g",101
"67","crema de alune cu cacao nutella 400g","1263 Lei/bucata","nutella (400 g)  ","1193 Lei/bucata","crema de alune cu cacao nutella 400g",101,"1236 Lei/bucata","crema de alune cu cacao nutella 400g",101,"1263 Lei/bucata","crema de alune cu cacao nutella 400g",101
"68","crema de branza cu castraveti hochland creme 200g","505 Lei/bucata","brinza proaspata crema  hochland (cu verdeata,  castraveti) - cutie plastic","480 Lei/bucata","crema de branza cu castraveti hochland creme 200g",101,"480 Lei/bucata","crema de branza cu castraveti hochland creme 200g",101,"480 Lei/bucata","crema de branza cu castraveti hochland creme 200g",101
"69","crema de cacao, alune de padure si lapte finetti 200g","520 Lei/bucata","crema de ciocolata finetti""""  (cutie plastic de 200 g) ","510 Lei/bucata","crema de cacao, alune de padure si lapte finetti 200g",101,"540 Lei/bucata","crema de cacao, alune de padure si lapte finetti 200g",101,"540 Lei/bucata","crema de cacao, alune de padure si lapte finetti 200g",101
"70","cremwursti din piept de curcan ifantis 250g","999 Lei/bucata","cremwursti  ","799 Lei/bucata","cremwursti din piept de curcan ifantis 250g",101,"999 Lei/bucata","cremwursti din piept de curcan ifantis 250g",101,"999 Lei/bucata","cremwursti din piept de curcan ifantis 250g",101
"71","crenvuresti polonezi de pui aldis per kg","2308 Lei/kg","polonezi de pui  ","2249 Lei/kg","crenvuresti polonezi de pui aldis per kg",101,"2500 Lei/kg","crenvuresti polonezi de pui aldis per kg",101,"2500 Lei/kg","crenvuresti polonezi de pui aldis per kg",101
"72","croissant cu umplutura de vanilie si cacao 7days double 80g","180 Lei/bucata","croissant umplut cu ciocolata  - indigen (punga metalizata  de 65-100 g) tip magic"" sau""","180 Lei/bucata","croissant cu umplutura de vanilie si cacao 7days double 80g",101,"179 Lei/bucata","croissant cu umplutura de vanilie si cacao 7days double 80g",101,"179 Lei/bucata","croissant cu umplutura de vanilie si cacao 7days double 80g",101
"73","demibagheta rustica cu cartofi 120g","199 Lei/bucata","piine alba, format bagheta  ","179 Lei/bucata","demibagheta rustica cu cartofi 120g",101,"7.99 Lei/kilogram","cartofi dulci",70,"7.99 Lei/kilogram","cartofi dulci",70
"74","drojdie proaspata budafok 500g","430 Lei/bucata","drojdie de bere, proaspata,  comprimata (pachet de 500 g) ","430 Lei/bucata","drojdie proaspata budafok 500g",101,"345 Lei/bucata","drojdie proaspata budafok 500g",101,"345 Lei/bucata","drojdie proaspata budafok 500g",101
"75","dropsuri asortate carrefour 80g","091 Lei/bucata","dropsuri simple - vrac  ","089 Lei/bucata","dropsuri asortate carrefour 80g",101,"091 Lei/bucata","dropsuri asortate carrefour 80g",101,"091 Lei/bucata","dropsuri asortate carrefour 80g",101
"76","dulceata de cirese raureni 350g","870 Lei/bucata","dulceata de cirese - indigena  (borcan de 360-450 ml) ","780 Lei/bucata","dulceata de cirese raureni 350g",101,"935 Lei/bucata","dulceata de cirese raureni 350g",101,"935 Lei/bucata","dulceata de cirese raureni 350g",101
"77","dulceata de visine arovit 340g","685 Lei/bucata","dulceata de visine - indigena  (borcan de 360-450 ml) ","660 Lei/bucata","dulceata de visine arovit 340g",101,"750 Lei/bucata","dulceata de visine arovit 340g",101,"750 Lei/bucata","dulceata de visine arovit 340g",101
"78","emmentaler zott bayerntaler 200g","1170 Lei/bucata","cascaval sweitzer  ","1170 Lei/bucata","emmentaler zott bayerntaler 200g",101,"1055 Lei/bucata","emmentaler zott bayerntaler 200g",101,"1055 Lei/bucata","emmentaler zott bayerntaler 200g",101
"79","esenta de rom cosmin 25 ml","140 Lei/bucata","esenta de rom, vanilie, fistic  (sticluta de 25-30 ml) ","140 Lei/bucata","esenta de rom cosmin 25 ml",101,"140 Lei/bucata","esenta de rom cosmin 25 ml",101,"140 Lei/bucata","esenta de rom cosmin 25 ml",101
"80","esenta de rom dr. oetker 4 x 2 ml","290 Lei/bucata","esente diferite arome dr.""  oetker (fiole 2 ml)"" ","335 Lei/bucata","esenta de rom dr. oetker 4 x 2 ml",101,"290 Lei/bucata","esenta de rom dr. oetker 4 x 2 ml",101,"290 Lei/bucata","esenta de rom dr. oetker 4 x 2 ml",101
"81","faina alba de grau 650 baneasa 1kg","139 Lei/bucata","faina alba (tip 650) -  preambalata ","149 Lei/bucata","faina alba de grau 650 baneasa 1kg",101,"139 Lei/bucata","faina alba de grau 650 baneasa 1kg",101,"139 Lei/bucata","faina alba de grau 650 baneasa 1kg",101
"82","faina alba superioara 000 boromir 1kg","259 Lei/bucata","faina alba superioara (480 tip  000) - preambalata ","229 Lei/bucata","faina alba superioara 000 boromir 1kg",101,"259 Lei/bucata","faina alba superioara 000 boromir 1kg",101,"259 Lei/bucata","faina alba superioara 000 boromir 1kg",101
"83","fasole alba maxim's 400g","370 Lei/bucata","fasole uscata  ","410 Lei/bucata","fasole alba maxim's 400g",101,"370 Lei/bucata","fasole alba maxim's 400g",101,"370 Lei/bucata","fasole alba maxim's 400g",101
"84","fasole galbena pastai taiata merve 670g","500 Lei/bucata","fasole pastai, taiata (borcan  de cca. 720 ml) ","429 Lei/bucata","fasole galbena pastai taiata merve 670g",101,"500 Lei/bucata","fasole galbena pastai taiata merve 670g",101,"500 Lei/bucata","fasole galbena pastai taiata merve 670g",101
"85","feta din lapte de capra si oaie olympus 350g","1610 Lei/bucata","brinza feta""""  ","1610 Lei/bucata","feta din lapte de capra si oaie olympus 350g",101,"1600 Lei/bucata","feta din lapte de capra si oaie olympus 350g",101,"1600 Lei/bucata","feta din lapte de capra si oaie olympus 350g",101
"86","ficat de porc per kg","599 Lei/kg","ficat de porc  ","899 Lei/kg","rasol de porc per kg",82,"1299 Lei/kg","ficat de pui coco rico per kg",86,"1299 Lei/kg","ficat de pui coco rico per kg",86
"87","ficat de pui fragedo per kg","1349 Lei/kg","ficat pui, preambalat  ","1349 Lei/kg","ficat de pui fragedo per kg",101,"1349 Lei/kg","ficat de pui fragedo per kg",101,"1269 Lei/kg","aripioare de pui fragedo, per kg",88
"88","file de macrou in sos tomat carrefour 170g","429 Lei/bucata","file (hering, macrou) in sos  tomat - cutie 170 g ","469 Lei/bucata","file de macrou in sos tomat carrefour 170g",101,"429 Lei/bucata","file de macrou in sos tomat carrefour 170g",101,"429 Lei/bucata","file de macrou in sos tomat carrefour 170g",101
"89","fleica de porc fara os per kg","1599 Lei/kg","carne porc (fleica, piept)  ","1399 Lei/kg","fleica de porc fara os per kg",101,"1599 Lei/kg","fleica de porc fara os per kg",101,"1599 Lei/kg","fleica de porc fara os per kg",101
"90","frisca uht hulala 500ml","665 Lei/bucata","frisca vegetala (cutie carton  0,5 l) ","639 Lei/bucata","frisca uht hulala 500ml",101,"665 Lei/bucata","frisca uht hulala 500ml",101,"665 Lei/bucata","frisca uht hulala 500ml",101
"91","fulgi de porumb rumeniti in cuptor carrefour 150g","165 Lei/bucata","fulgi de porumb - indigeni  (punga de 150 g) ","165 Lei/bucata","fulgi de porumb rumeniti in cuptor carrefour 150g",101,"165 Lei/bucata","fulgi de porumb rumeniti in cuptor carrefour 150g",101,"165 Lei/bucata","fulgi de porumb rumeniti in cuptor carrefour 150g",101
"92","fursecuri cu bucatele de ciocolata milka choco cookie 135g","420 Lei/bucata","fursecuri ambalate in cutie  ","420 Lei/bucata","fursecuri cu bucatele de ciocolata milka choco cookie 135g",101,"420 Lei/bucata","fursecuri cu bucatele de ciocolata milka choco cookie 135g",101,"420 Lei/bucata","fursecuri cu bucatele de ciocolata milka choco cookie 135g",101
"93","gem de caise arovit 360g","409 Lei/bucata","gem de caise - indigen (borcan  de 360-450 ml) ","403 Lei/bucata","gem de caise arovit 360g",101,"439 Lei/bucata","gem de caise arovit 360g",101,"479 Lei/bucata","gem de caise arovit 360g",101
"94","gem de capsuni arovit 360g","420 Lei/bucata","gem de capsuni - indigen  (borcan de 360-450 ml) ","410 Lei/bucata","gem de capsuni arovit 360g",101,"440 Lei/bucata","gem de capsuni arovit 360g",101,"440 Lei/bucata","gem de capsuni arovit 360g",101
"95","gem de prune arovit 360g","420 Lei/bucata","gem de prune - indigen (borcan  de 360-450 ml) ","400 Lei/bucata","gem de prune arovit 360g",101,"460 Lei/bucata","gem de prune arovit 360g",101,"460 Lei/bucata","gem de prune arovit 360g",101
"96","gris dobrogea 500g","235 Lei/bucata","gris preambalat (punga 500 g)  ","235 Lei/bucata","gris dobrogea 500g",101,"235 Lei/bucata","gris dobrogea 500g",101,"235 Lei/bucata","gris dobrogea 500g",101
"97","guma de mestecat fara zahar si aroma de menta winterfrost orbit 14g","140 Lei/bucata","guma mestecat orbit""""  fara zahar (14 g) ","150 Lei/bucata","guma de mestecat fara zahar si aroma de menta winterfrost orbit 14g",101,"140 Lei/bucata","guma de mestecat fara zahar si aroma de menta winterfrost orbit 14g",101,"140 Lei/bucata","guma de mestecat fara zahar si aroma de menta winterfrost orbit 14g",101
"98","halva cu cacao feleacul 400g","580 Lei/bucata","halva cu cacao - indigena  (pachet de 250-500 g) ","580 Lei/bucata","halva cu cacao feleacul 400g",101,"580 Lei/bucata","halva cu cacao feleacul 400g",101,"580 Lei/bucata","halva cu cacao feleacul 400g",101
"99","hering file in sos tomat home garden 170g","600 Lei/bucata","file (hering, macrou) in sos  tomat - cutie 170 g ","590 Lei/bucata","hering file in sos tomat home garden 170g",101,"600 Lei/bucata","hering file in sos tomat home garden 170g",101,"600 Lei/bucata","hering file in sos tomat home garden 170g",101
